primary_Title,start_Year,genres,average_Rating,num_Votes
The Dark Knight,2008,"Action,Crime,Drama",9.0,3007338
Inception,2010,"Action,Adventure,Sci-Fi",8.8,2671607
Django Unchained,2012,Western,8.5,1782298
The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1508255
The Departed,2006,"Crime,Drama,Thriller",8.5,1481595
Whiplash,2014,"Drama,Music",8.5,1067026
Parasite,2019,"Drama,Thriller",8.5,1053627
Dune: Part Two,2024,"Action,Adventure,Drama",8.5,620817
The Kashmir Files,2022,Drama,8.5,576109
Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation",8.5,448082
The Dark Knight Rises,2012,"Action,Crime,Drama",8.4,1905653
Avengers: Endgame,2019,"Action,Adventure,Sci-Fi",8.4,1347930
Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation",8.4,725570
Coco,2017,"Adventure,Animation,Drama",8.4,645539
3 Idiots,2009,"Comedy,Drama",8.4,456346
The Lives of Others,2006,"Drama,Mystery,Thriller",8.4,426250
Your Name.,2016,"Animation,Drama,Fantasy",8.4,353787
Joker,2019,"Crime,Drama,Thriller",8.3,1600926
Up,2009,"Adventure,Animation,Comedy",8.3,1176520
Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,1132480
Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,928260
Oppenheimer,2023,"Biography,Drama,History",8.3,877719
The Hunt,2012,Drama,8.3,386300
A Separation,2011,Drama,8.3,268365
The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,1676243
Batman Begins,2005,"Action,Crime,Drama",8.2,1640545
Shutter Island,2010,"Drama,Mystery,Thriller",8.2,1541678
No Country for Old Men,2007,"Crime,Drama,Thriller",8.2,1116522
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.2,944367
Prisoners,2013,"Crime,Drama,Mystery",8.2,866374
Top Gun: Maverick,2022,"Action,Drama",8.2,768049
1917,2019,"Action,Drama,War",8.2,723587
Pan's Labyrinth,2006,"Drama,Fantasy,War",8.2,722962
There Will Be Blood,2007,Drama,8.2,668172
Green Book,2018,"Biography,Comedy,Drama",8.2,630600
Howl's Moving Castle,2004,"Adventure,Animation,Family",8.2,480182
Downfall,2004,"Biography,Drama,History",8.2,387149
V for Vendetta,2005,"Action,Drama,Sci-Fi",8.1,1211891
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,1160846
Gone Girl,2014,"Drama,Mystery,Thriller",8.1,1116487
The Grand Budapest Hotel,2014,"Comedy,Drama",8.1,923072
Logan,2017,"Action,Drama,Sci-Fi",8.1,885831
Ratatouille,2007,"Adventure,Animation,Comedy",8.1,880245
Inside Out,2015,"Adventure,Animation,Comedy",8.1,862722
