Mês,Up,Django Unchained,Ratatouille,The Prestige,Eternal Sunshine of the Spotless Mind,Spider-Man: No Way Home,Toy Story 3,Inception,The Dark Knight Rises,The Hunt,Avengers: Endgame,Whiplash,Logan,Mad Max: Fury Road,Oppenheimer,Dune: Part Two,Batman Begins,Shutter Island,The Dark Knight,A Separation,Prisoners,V for Vendetta,The Wolf of Wall Street,The Grand Budapest Hotel,Downfall,No Country for Old Men,Green Book,Spider-Man: Into the Spider-Verse,The Departed,3 Idiots,Pan's Labyrinth,Coco,Gone Girl,Inside Out,Spider-Man: Across the Spider-Verse,The Kashmir Files,Top Gun: Maverick,There Will Be Blood,The Lives of Others,Howl's Moving Castle,Your Name.,1917,Joker,Parasite
2004-01,3,0,0,1,11,<1,<1,<1,0,0,<1,4,<1,2,0,0,1,0,<1,0,3,<1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,7,0,<1,<1,<1
2004-02,3,0,0,1,12,0,<1,<1,0,0,<1,4,<1,1,0,0,1,0,<1,0,2,<1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,5,0,1,<1,<1
2004-03,4,0,0,1,100,<1,<1,<1,0,0,<1,4,<1,1,0,0,4,0,<1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,6,0,1,<1,0
2004-04,4,0,0,1,66,<1,<1,<1,0,0,<1,4,<1,1,0,0,5,0,<1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,9,0,1,<1,0
2004-05,4,0,1,0,51,<1,<1,<1,<1,0,<1,3,<1,1,0,0,5,0,<1,0,6,<1,0,0,2,0,1,0,<1,0,0,1,0,1,0,0,1,0,0,7,0,1,<1,0
2004-06,3,0,0,0,30,<1,<1,<1,0,0,<1,4,<1,1,0,0,7,0,<1,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,9,0,<1,<1,<1
2004-07,4,0,0,1,34,<1,<1,<1,0,0,<1,4,<1,1,0,0,12,0,<1,0,3,<1,0,0,2,0,2,<1,<1,0,0,1,0,1,0,0,1,0,0,19,1,<1,<1,<1
2004-08,4,0,0,0,39,<1,<1,<1,0,7,<1,3,<1,1,0,0,14,0,<1,0,3,<1,0,0,21,0,1,0,0,0,0,1,0,1,0,0,<1,0,0,14,0,<1,<1,<1
2004-09,5,<1,0,1,52,<1,<1,<1,<1,0,<1,3,<1,1,0,0,7,0,<1,0,4,<1,0,0,100,0,2,0,<1,0,0,1,0,1,0,0,1,0,0,29,0,1,1,<1
2004-10,4,<1,0,1,72,<1,<1,<1,0,0,<1,4,<1,1,0,0,7,0,<1,0,2,<1,0,0,61,0,2,0,<1,0,0,1,0,1,0,0,<1,0,0,26,0,1,<1,<1
2004-11,5,0,1,1,49,<1,1,<1,0,0,<1,4,<1,1,0,0,6,0,<1,0,3,1,0,0,45,0,1,0,<1,0,0,1,0,1,0,0,1,0,0,100,0,1,<1,0
2004-12,5,<1,0,1,43,<1,1,<1,0,0,<1,3,<1,1,<1,0,15,0,<1,0,3,<1,0,0,27,0,1,0,<1,0,0,1,0,1,0,0,1,0,0,87,0,<1,1,<1
2005-01,6,<1,0,1,44,<1,1,<1,0,0,<1,4,<1,1,0,0,11,0,<1,0,3,1,0,0,44,0,1,0,1,0,0,1,0,1,0,0,1,0,0,92,0,1,1,0
2005-02,6,0,0,1,38,<1,<1,<1,0,4,<1,4,<1,1,0,0,13,0,<1,0,3,1,0,0,57,0,2,0,1,0,0,1,0,1,0,0,1,0,0,60,0,1,1,0
2005-03,5,<1,0,1,32,<1,<1,<1,<1,0,<1,4,<1,1,0,0,10,0,<1,0,3,2,0,0,73,0,1,0,1,0,0,1,0,1,0,0,<1,0,0,36,0,1,1,<1
2005-04,6,0,1,1,28,<1,<1,<1,0,0,<1,4,<1,1,0,0,14,0,<1,0,3,1,0,0,78,0,2,0,1,0,0,2,0,1,0,0,<1,0,0,27,0,1,1,<1
2005-05,5,<1,0,1,23,<1,<1,<1,0,0,<1,4,<1,1,0,0,20,0,<1,0,3,3,0,0,53,0,1,0,1,0,0,1,0,1,0,0,1,<1,0,20,0,1,1,<1
2005-06,5,<1,0,1,19,<1,<1,<1,<1,4,<1,4,<1,1,0,0,100,0,1,0,3,3,0,0,28,0,1,0,2,0,0,1,0,1,0,0,1,0,0,46,<1,<1,1,<1
2005-07,4,<1,0,1,21,<1,1,<1,<1,0,<1,4,<1,1,0,0,41,0,1,0,3,8,0,0,21,<1,1,0,2,0,0,1,0,1,0,0,1,0,0,30,0,<1,1,<1
2005-08,4,<1,1,1,19,<1,<1,<1,0,0,<1,3,<1,1,0,0,14,0,<1,0,3,6,0,0,24,<1,1,0,1,0,0,1,0,1,0,0,1,<1,0,42,0,<1,1,0
2005-09,5,<1,0,1,16,<1,<1,<1,<1,0,<1,4,<1,1,0,0,10,0,<1,0,3,3,0,0,24,<1,1,0,1,0,0,1,0,1,0,0,<1,<1,1,53,0,<1,1,<1
2005-10,5,<1,1,2,16,<1,<1,<1,<1,3,<1,4,<1,1,0,0,19,<1,<1,0,3,3,0,0,30,<1,2,0,1,0,0,1,0,1,0,0,1,<1,0,41,<1,1,1,<1
2005-11,6,<1,<1,2,18,<1,<1,<1,<1,3,<1,4,<1,1,0,0,11,0,<1,0,3,4,0,0,19,0,1,0,1,0,<1,1,0,1,0,0,<1,<1,0,45,<1,<1,1,0
2005-12,6,<1,0,2,20,<1,1,<1,<1,0,<1,4,<1,1,0,0,9,0,<1,0,4,5,0,0,16,<1,1,0,1,0,1,1,0,1,0,0,<1,0,0,32,0,1,1,<1
2006-01,7,<1,1,3,17,<1,1,<1,<1,0,<1,3,<1,1,0,0,7,0,<1,0,4,6,0,0,15,0,1,0,1,0,1,1,0,1,0,0,1,0,1,30,<1,<1,1,<1
2006-02,6,<1,1,2,15,<1,1,<1,<1,0,<1,3,<1,1,0,0,5,0,<1,0,3,15,0,0,12,<1,1,0,1,0,1,1,0,1,0,0,1,<1,1,27,<1,1,1,<1
2006-03,6,<1,1,2,15,<1,<1,<1,<1,5,<1,3,<1,1,0,0,5,0,<1,0,2,100,0,0,13,0,1,0,1,0,1,1,0,1,0,0,1,<1,7,39,1,1,1,<1
2006-04,5,<1,1,2,13,<1,<1,<1,<1,0,<1,4,<1,1,0,0,4,0,<1,0,3,66,0,0,10,<1,1,0,1,0,1,1,0,1,0,0,<1,<1,11,23,1,<1,1,<1
2006-05,5,<1,3,2,13,<1,<1,<1,<1,2,<1,4,1,1,<1,0,5,0,<1,0,3,25,0,0,9,<1,1,0,1,0,3,2,0,1,0,0,<1,<1,11,18,1,1,<1,<1
2006-06,5,<1,7,2,13,1,<1,<1,<1,2,<1,3,1,1,0,0,5,0,<1,0,3,14,0,0,8,<1,1,0,1,0,2,1,0,1,0,0,1,<1,5,19,1,<1,1,<1
2006-07,5,<1,2,11,13,1,1,<1,<1,0,<1,4,<1,1,0,0,6,<1,1,0,3,15,0,0,6,<1,1,0,3,0,2,2,0,1,0,0,<1,<1,5,36,<1,<1,1,<1
2006-08,4,<1,2,11,15,1,<1,<1,<1,2,<1,4,<1,1,0,0,5,0,2,0,3,33,0,0,6,<1,1,0,5,0,3,1,0,1,0,0,1,<1,6,19,<1,<1,1,<1
2006-09,5,<1,2,18,15,<1,<1,<1,<1,0,<1,4,<1,1,0,0,3,0,1,0,3,21,0,0,8,<1,1,0,14,0,5,2,0,1,0,0,<1,<1,4,13,<1,<1,1,<1
2006-10,5,<1,1,94,16,<1,<1,<1,<1,2,<1,3,<1,1,0,0,4,0,1,0,4,14,0,0,7,<1,1,0,100,0,51,2,0,1,0,0,1,<1,7,12,<1,1,1,<1
2006-11,5,<1,2,94,14,1,<1,<1,<1,3,<1,3,<1,1,0,0,3,0,1,0,3,13,0,0,7,<1,1,<1,66,0,41,1,0,1,0,0,<1,<1,8,11,<1,<1,1,<1
2006-12,5,<1,3,44,14,1,<1,<1,<1,2,<1,3,<1,1,0,0,3,0,1,0,3,10,0,0,7,<1,1,0,46,0,37,2,0,1,0,0,<1,<1,14,11,<1,<1,1,<1
2007-01,6,<1,3,100,14,1,<1,<1,<1,3,<1,3,<1,1,0,0,3,0,1,0,3,8,0,0,8,<1,1,0,49,0,69,2,0,1,0,0,<1,<1,22,11,<1,1,1,<1
2007-02,5,<1,3,90,17,1,1,<1,<1,3,<1,4,<1,1,0,0,3,0,1,0,4,8,0,0,6,<1,1,0,83,0,100,2,0,1,0,0,<1,<1,80,11,<1,1,1,<1
2007-03,5,<1,4,66,14,1,1,<1,<1,2,<1,3,<1,1,0,0,3,0,1,0,3,8,<1,0,5,<1,1,0,60,0,74,1,0,1,0,0,<1,<1,100,11,<1,1,1,<1
2007-04,5,<1,5,38,17,2,1,<1,<1,0,<1,4,<1,1,0,0,3,0,2,2,4,7,<1,0,5,1,1,0,32,0,40,2,0,1,0,0,<1,<1,90,10,<1,<1,1,<1
2007-05,4,<1,10,32,14,4,1,<1,<1,2,<1,4,<1,1,0,0,3,<1,3,2,3,7,0,0,7,3,1,<1,21,0,37,2,<1,1,0,0,<1,<1,65,9,<1,1,1,<1
2007-06,5,<1,35,28,14,1,1,<1,<1,4,<1,4,<1,1,0,0,3,0,4,1,3,7,0,0,6,2,1,<1,15,0,30,2,0,1,0,0,<1,1,45,10,<1,<1,1,<1
2007-07,4,<1,100,24,14,<1,1,<1,<1,3,<1,3,<1,1,0,0,3,0,6,0,4,7,0,0,5,1,1,<1,14,0,34,2,0,1,0,0,<1,1,43,10,<1,<1,1,1
2007-08,4,<1,87,23,13,<1,1,<1,<1,4,<1,4,<1,1,0,0,3,0,7,0,6,5,0,0,5,2,1,0,13,0,26,2,0,1,0,0,<1,1,41,9,<1,<1,1,<1
2007-09,4,<1,52,17,13,<1,1,<1,<1,4,<1,4,<1,1,0,0,2,0,6,0,3,6,<1,0,5,2,1,0,12,0,22,2,0,1,0,0,<1,2,39,9,<1,1,1,<1
2007-10,4,<1,94,17,13,<1,1,<1,<1,4,<1,3,<1,1,0,0,3,<1,4,0,4,6,<1,0,6,3,1,<1,11,0,20,2,<1,1,0,0,1,2,34,9,<1,1,1,<1
2007-11,4,<1,86,16,13,<1,1,<1,<1,2,<1,3,<1,1,0,0,2,<1,4,0,4,7,<1,0,7,39,1,0,12,0,17,2,0,1,0,0,<1,4,30,9,<1,1,1,<1
2007-12,4,<1,56,20,15,<1,1,<1,<1,3,<1,3,<1,1,0,0,4,<1,19,0,4,6,<1,0,5,43,1,<1,10,0,18,3,0,1,0,0,<1,20,33,9,<1,<1,1,<1
2008-01,5,<1,37,18,14,<1,1,<1,<1,3,<1,3,<1,1,0,0,4,<1,21,0,4,5,<1,0,6,64,1,0,10,0,15,2,<1,1,0,0,<1,70,34,9,<1,<1,1,<1
2008-02,5,<1,39,16,13,<1,1,<1,<1,3,<1,4,<1,1,0,0,3,<1,8,1,4,5,<1,0,6,100,1,0,10,0,15,3,<1,1,0,0,<1,100,28,9,<1,<1,1,<1
2008-03,4,<1,27,13,12,<1,1,<1,<1,3,<1,4,<1,1,0,0,2,<1,7,0,4,5,<1,0,5,89,1,<1,9,0,14,2,<1,1,0,0,<1,56,25,11,<1,<1,1,<1
